API,category,content,publishedAt,rank,title,url,metarank
NewsAPI,business,"The Powerball jackpot for 01/02/21 is $384 million. The Saturday night drawing will be shortly after 11 p.m.
This page can be bookmarked and refreshed to see if you hold the winning numbers. Tonight… [+3558 chars]",2021-01-02T21:00:01Z,22,"Powerball Drawing For 01/02/21, Saturday Jackpot is $384 Million - Newsweek",https://www.newsweek.com/powerball-drawing-01-02-21-saturday-jackpot-384-million-1558201,88
NewsAPI,technology,"What are the new PS Plus games? What are the latest PS5 and PS4 games on PlayStation Plus? What free PS Plus games have been given away in 2021? Within this guide, we shall be compiling a complete li… [+715 chars]",2021-01-02T21:52:00Z,22,All Free PS Plus Games in 2021 - Push Square,https://www.pushsquare.com/guides/all-free-ps-plus-games-in-2021,89
CurrentsAPI,business,,2021-01-02 20:25:22 +0000,22,The Latest: New daily cases hit record in North Carolina,https://www.mercurynews.com/2021/01/02/the-latest-new-daily-cases-hit-record-in-north-carolina/,90
CurrentsAPI,technology,,2021-01-02 19:54:09 +0000,22,Help arrives for California hospitals short on oxygen,https://m.washingtontimes.com/news/2021/jan/2/help-arrives-for-california-hospitals-short-on-oxy/,91
NewsAPI,business,"To continue, please click the box below to let us know you're not a robot.",2021-01-02T21:00:00Z,23,"Dizzying Valuations, IPO Craze Tick Boxes on Bubble Checklist - Bloomberg",https://www.bloomberg.com/tosv2.html?vid=&uuid=5ec82e50-4d4d-11eb-8d54-ebb9b5b43562&url=L25ld3MvYXJ0aWNsZXMvMjAyMS0wMS0wMi9kaXp6eWluZy12YWx1YXRpb25zLWlwby1jcmF6ZS10aWNrLWJveGVzLW9uLWJ1YmJsZS1jaGVja2xpc3Q=,92
NewsAPI,technology,"Update: As of Sunday morning this should be resolved, however, you’ll want to ensure your GPS has fully synced before heading out, and it doesn’t hurt to give it a few extra mins outside before press… [+4568 chars]",2021-01-02T21:51:58Z,23,"New 2021 GPS Accuracy Issue Impacting Some Garmin, Suunto, other GPS Devices - DC Rainmaker",https://www.dcrainmaker.com/2021/01/gps-accuracy-impacting-devices.html,93
CurrentsAPI,business,,2021-01-02 20:21:26 +0000,23,"Jeff Bezos and Elon Musk increased their wealth by $217 billion in 2020. For this amount, over 100 million Americans could get $2,000 checks.",https://www.businessinsider.com/jeff-bezos-elon-musk-increased-wealth-by-217-billion-2021-1,94
CurrentsAPI,technology,,2021-01-02 19:47:46 +0000,23,"Spencer: Bethesda Acquisition Is on Track to Be Completed in 2021, Our RPG Capability Will Be Massive Then",https://wccftech.com/spencer-bethesda-acquisition-is-on-track-to-be-completed-in-2021-our-rpg-capability-will-be-massive-then/,95
NewsAPI,business,,2021-01-02T20:34:00Z,24,"Watch: Boston Dynamics robots dancing to The Contours' ""Do You Love Me?"" - Boing Boing",https://boingboing.net/2021/01/02/watch-boston-dynamics-robots-dancing-to-the-contours-do-you-love-me.html,96
NewsAPI,technology,"Xbox Series X has picked up another big exclusive game, or more specifically another big and upcoming game has been confirmed as an Xbox Series X and Xbox Series S console exclusive. Last July, devel… [+1804 chars]",2021-01-02T21:35:00Z,24,Xbox Series X: Big Upcoming Game Confirmed as Exclusive - ComicBook.com,https://comicbook.com/gaming/news/xbox-series-x-games-exclusive-stalker-2/,97
CurrentsAPI,business,,2021-01-02 20:16:12 +0000,24,"Record in a matter of hours! Bitcoin price exceeds $ 31,000",https://www.entrepreneur.com/article/362621,98
CurrentsAPI,technology,,2021-01-02 19:45:47 +0000,24,Details of the Samsung Galaxy Smart Tag Bluetooth Tracker Revealed | Technobezz,https://www.technobezz.com/details-of-the-samsung-galaxy-smart-tag-bluetooth-tracker-revealed/,99
NewsAPI,business,"The Utah Department of Health did not release a case count on Friday, so Saturday's case count has been adjusted to reflect cases that would have been included in that report.
New Cases5,042 new cas… [+3379 chars]",2021-01-02T20:31:28Z,25,"More than 5,000 new COVID-19 cases in first official Utah Department of Health report of 2021 - fox13now.com",https://www.fox13now.com/news/coronavirus/local-coronavirus-news/more-than-5-000-new-covid-19-cases-in-first-official-utah-department-of-health-report-of-2021,100
NewsAPI,technology,,2021-01-02T21:30:00Z,25,Undead Nightmare 2 - Will Rockstar Do It For Red Dead Redemption 2? - GamingBolt,https://www.youtube.com/watch?v=L7VsdoV-3GE,101
CurrentsAPI,business,,2021-01-02 20:00:50 +0000,25,Arvinas: Leading In Cutting Edge Protein Degrader Development,https://seekingalpha.com/article/4396994-arvinas-leading-in-cutting-edge-protein-degrader-development?source=feed_sector_healthcare,102
CurrentsAPI,technology,,2021-01-02 19:34:20 +0000,25,Farming Equipment is Beaming Back 'Reams of Data' To its Manufacturers,https://m.slashdot.org/story/380182,103
NewsAPI,business,<ul><li>Benzinga has examined the prospects for many investor favorite stocks over the past week. </li><li>The week's bullish calls included the iPhone maker and electric vehicle stocks.</li><li>A se… [+4016 chars],2021-01-02T20:28:34Z,26,"Benzinga's Final Bulls And Bears Of The Year: Alibaba, Apple, Intel, Tesla And More - Benzinga",https://www.benzinga.com/trading-ideas/long-ideas/21/01/18989418/benzingas-final-bulls-and-bears-of-the-year-alibaba-apple-intel-tesla-and-more,104
NewsAPI,technology,,2021-01-02T21:30:00Z,26,Top Hat Studios Refuses to Censor Its Game After Receiving Death Threats - GameRant,https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vZ2FtZXJhbnQuY29tL3RvcC1oYXQtc3R1ZGlvcy1zZW5zZS1jeWJlcnB1bmstZ2hvc3Qtc3RvcnktY2Vuc29yc2hpcC1kZWF0aC10aHJlYXRzL9IBXmh0dHBzOi8vZ2FtZXJhbnQuY29tL3RvcC1oYXQtc3R1ZGlvcy1zZW5zZS1jeWJlcnB1bmstZ2hvc3Qtc3RvcnktY2Vuc29yc2hpcC1kZWF0aC10aHJlYXRzL2FtcC8?oc=5,105
CurrentsAPI,business,,2021-01-02 19:48:35 +0000,26,Researchers learn new tricks to save endangered crayfish,https://m.washingtontimes.com/news/2021/jan/2/researchers-learn-new-tricks-to-save-endangered-cr/,106
CurrentsAPI,technology,,2021-01-02 19:34:20 +0000,26,EFF Reveals Behind-the-Scenes Account of the Fight to Save .ORG  (eff.org),https://yro.slashdot.org/story/21/01/02/069213/eff-reveals-behind-the-scenes-account-of-the-fight-to-save-org,107
NewsAPI,business,"The dreaded post-Christmas spike in coronavirus cases appears to be materializing in Los Angeles County, with a new rise in cases as hospitals are already in crisis from the Thanksgiving surge.
Los … [+892 chars]",2021-01-02T19:57:00Z,27,Feared post-Christmas coronavirus surge appears to begin in L.A. County as cases spike - KTLA Los Angeles,https://ktla.com/news/local-news/feared-post-christmas-coronavirus-surge-appears-to-begin-in-l-a-county-as-cases-spike/,108
NewsAPI,technology,"Some Call of Duty players have grown frustrated with Warzones merger with Black Ops Cold War, which they think has ruined the acclaimed battle royale.
Since Warzones release back in March of 2020, o… [+2325 chars]",2021-01-02T21:20:18Z,27,Warzone fans enact vigilante justice as devs fail to fix exploitable truck glitch - Dexerto,https://www.dexerto.com/call-of-duty/warzone-fans-enact-vigilante-justice-as-devs-fail-to-fix-exploitable-truck-glitch-1488682/,109
CurrentsAPI,business,,2021-01-02 19:46:10 +0000,27,"Bitcoin crosses $30,000 for the first time as it charges into 2021",https://www.businessinsider.com/bitcoin-crosses-30000-as-it-continues-to-break-records-2021-1,110
CurrentsAPI,technology,,2021-01-02 19:31:17 +0000,27,Flash is finally dead. Here's how to remove it from your computer.,http://feeds.mashable.com/~r/Mashable/~3/zcP32jB7FCA/,111
NewsAPI,business,"A rendering of Starship and Super Heavy.
SpaceX
One day in the not-too-distant future, Elon Musk envisions blasting off from Earth and sending his next-generation Starship on its way to the moon, M… [+2333 chars]",2021-01-02T19:55:00Z,28,"Elon Musk plans to catch the most powerful SpaceX rocket, not land it - CNET",https://www.cnet.com/news/elon-musk-plans-to-catch-the-most-powerful-spacex-rocket-not-land-it/,112
NewsAPI,technology,"YouTubes classic lofi hip hop radio starring everyones favorite study partner has gotten an Apex Legends remix, putting Wraith in the chair along with a few easter eggs from the battle royale.
Creat… [+1823 chars]",2021-01-02T20:42:49Z,28,Apex Legends version of ‘lofi hip hop radio’ with Wraith is the perfect remake - Dexerto,https://www.dexerto.com/?p=1488646,113
CurrentsAPI,business,,2021-01-02 19:40:07 +0000,28,One-use plastic bag ban now in effect - Delaware Business Now,https://delawarebusinessnow.com/2021/01/one-use-plastic-bag-ban-now-in-effect/,114
CurrentsAPI,technology,,2021-01-02 19:14:47 +0000,28,"How To Get Fortnite Download On iPhone, iPad Without Jailbreak",https://www.redmondpie.com/how-to-get-fortnite-download-on-iphone-ipad-without-jailbreak/,115
NewsAPI,business,"A baby boy was the first baby born in 2021 at Geisinger Medical Center near Danville in Montour County. 
Thomas Angel Rodriguez, Jr. arrived Friday at 4:17 p.m.
He weighs 6 pounds, 13 ounces, and m… [+183 chars]",2021-01-02T19:52:00Z,29,Geisinger Medical Center welcomes first baby born in the new year - WNEP Scranton/Wilkes-Barre,https://www.wnep.com/article/news/local/montour-county/geisinger-medical-center-welcomes-first-baby-born-in-the-new-year/523-80a3700d-d6cd-4b3c-be5f-ac0dd5972522,116
NewsAPI,technology,"There is a new trend in the smartphone industry that many manufacturers may follow. This is releasing a smartphone without a charger which was started by Apple. After the iPhone 12 series, the Xiaomi… [+2723 chars]",2021-01-02T20:16:25Z,29,Samsung Galaxy S21 to remove the MicroSD card slot – some markets will have a charger - Gizchina.com,https://www.gizchina.com/2021/01/02/samsung-galaxy-s21-to-remove-the-microsd-card-slot-some-markets-will-have-a-charger/,117
CurrentsAPI,business,,2021-01-02 19:36:07 +0000,29,Aeglea BioTherapeutics: Human Enzyme-Based Platform Tackles Multiple Rare Diseases,https://seekingalpha.com/article/4396991-aeglea-biotherapeutics-human-enzyme-based-platform-tackles-multiple-rare-diseases?source=feed_sector_healthcare,118
CurrentsAPI,technology,,2021-01-02 19:08:49 +0000,29,The delightful Ratatouille TikTok musical has already sold more than $1 million in tickets,https://www.theverge.com/2021/1/2/22210416/ratatouille-tiktok-musical-1-million-actors-fund-disney-pixar-broadway,119
