API,category,content,publishedAt,rank,title,url,metarank
NewsAPI,technology,Ring in the new year with some extra money in your pocket thanks to these New Year's sales. Retailers from Best Buy to Walmart are offering New Year's sales on everything from fitness apparel to Appl… [+27938 chars],2021-01-03T02:53:00Z,5,"New Year's sales 2021 — Amazon, Walmart, Best Buy and more - Tom's Guide",https://www.tomsguide.com/news/new-years-sales-2021-amazon-walmart-best-buy-and-more,22
CurrentsAPI,business,,2021-01-02 22:35:47 +0000,5,"Tesla delivered 499,550 vehicles in 2020, just shy of target",https://www.pressherald.com/2021/01/02/tesla-delivered-499550-vehicles-in-2020-just-shy-of-target/,23
CurrentsAPI,technology,,2021-01-02 23:10:44 +0000,5,Archaeology is going digital to harness the power of Big Data,https://arstechnica.com/science/2021/01/archaeology-is-going-digital-to-harness-the-power-of-big-data/,24
NewsAPI,business,,2021-01-03T03:27:00Z,6,Dow Jones Futures: Stock Market Rally Lessons For 2021; Tesla Deliveries Nearly Hit 500000; 25 Stocks In Buy Range Now - Investor's Business Daily,https://news.google.com/__i/rss/rd/articles/CBMiogFodHRwczovL3d3dy5pbnZlc3RvcnMuY29tL21hcmtldC10cmVuZC9zdG9jay1tYXJrZXQtdG9kYXkvZG93LWpvbmVzLWZ1dHVyZXMtMjAyMC1zdG9jay1tYXJrZXQtcmFsbHktbGVzc29ucy1mb3ItMjAyMS10ZXNsYS1zdG9jay1uaW8tc2FsZXMtMjUtc3RvY2tzLWluLWJ1eS1yYW5nZS_SAQA?oc=5,25
NewsAPI,technology,"We've already got LEGO Marvel Super Heroes 2 on the Nintendo Switch, so where's the original game? According to the ESRB, it's on the way...
Yep, the 2013 title previously released on the Nintendo D… [+498 chars]",2021-01-03T02:45:00Z,6,The Original LEGO Marvel Super Heroes Game Appears To Be Coming To Switch - Nintendo Life,https://www.nintendolife.com/news/2021/01/the_original_lego_marvel_super_heroes_game_appears_to_be_coming_to_switch,26
CurrentsAPI,business,,2021-01-02 22:23:18 +0000,6,"Pompeo Defends Trump’s Afghan Peace Plan, Ensuing 'Incredible Progress'",https://www.voanews.com/south-central-asia/pompeo-defends-trumps-afghan-peace-plan-ensuing-incredible-progress,27
CurrentsAPI,technology,,2021-01-02 23:00:00 +0000,6,How to connect your laptop to a monitor,http://feeds.mashable.com/~r/Mashable/~3/RAMTNDkr_6w/,28
NewsAPI,business,"In the early days of the pandemic, hand sanitizer was flying off the shelves, and local distillers saw a need and a niche.
Americans scrambled to ensure good hygiene as COVID-19 grew more entrenched… [+4049 chars]",2021-01-03T02:16:23Z,7,Sonoma County distilleries relieved after feds waive hand sanitizer fees - Santa Rosa Press Democrat,https://www.pressdemocrat.com/article/news/sonoma-petaluma-distilleries-relieved-after-feds-waive-sanitizer-fees/,29
NewsAPI,technology,"01:08 | Disappointment PC 2020
09:03 | Cyberpunk 2077 Class-Action Complaints Have Arrived
The first Cyberpunk 2077 class-action lawsuit has landed, and its likely only the first of many. As previo… [+13788 chars]",2021-01-03T02:22:14Z,7,"HW News - Cyberpunk 2077 Lawsuits, PlayStation 5 Sales Volume, NVIDIA RTX 3050 & Ti Rumors - GamersNexus",https://www.gamersnexus.net/news-pc/3634-hw-news-cyberpunk-lawsuits-ps5-sales-volume-nvidia-rtx-3050,30
CurrentsAPI,business,,2021-01-02 22:15:00 +0000,7,A crisis is a terrible thing to waste,https://gazette.com/business/a-crisis-is-a-terrible-thing-to-waste/article_82bd2a1a-4c65-11eb-94bf-df916344d886.html,31
